Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,2394,28,64,92,122,161,166,139,153,149,120,1200
2, ,ALL OTHERS (849),849,4,11,33,44,58,57,51,47,47,47,450
3,2.353,J EDUC PSYCHOL,111,0,3,1,5,7,11,4,6,5,6,63
4,1.029,LEARN INSTR,84,15,3,3,5,10,12,4,5,8,2,17
5,2.231,EDUC PSYCHOL-US,42,0,1,0,0,9,1,4,4,4,0,19
6,1.519,COGNITION INSTRUCT,36,0,0,1,2,4,2,2,1,1,1,22
7,2.600,REV EDUC RES,36,0,1,1,2,1,0,0,3,2,0,26
8,1.516,EDUC PSYCHOL REV,32,0,1,1,2,4,7,6,0,1,3,7
9,1.487,CONTEMP EDUC PSYCHOL,28,0,0,2,3,1,4,2,2,0,4,10
10,4.505,J PERS SOC PSYCHOL,28,0,0,0,0,1,1,0,1,2,1,22
11,2.179,COGNITIVE SCI,26,0,0,0,0,2,2,2,1,0,0,19
12,1.602,COMPUT EDUC,26,0,16,0,2,4,0,1,1,2,0,0
13,1.930,AM EDUC RES J,23,0,1,0,0,0,0,0,0,0,0,22
14,3.382,CHILD DEV,21,0,1,2,1,0,0,0,1,1,1,14
15,1.571,J LEARN SCI,21,0,0,2,3,7,1,2,1,2,0,3
16,0.795,INSTR SCI,20,0,0,3,4,0,1,2,3,0,0,7
17,7.803,PSYCHOL REV,20,0,0,0,0,0,1,0,0,2,1,16
18,0.500,EUR J PSYCHOL EDUC,17,1,0,4,0,1,0,1,0,7,0,3
19,1.148,J RES SCI TEACH,17,0,0,0,0,2,0,3,0,1,2,9
20,1.024,BRIT J EDUC PSYCHOL,16,0,2,1,1,1,1,1,0,1,2,6
21,0.697,J RES MATH EDUC,16,0,0,0,0,0,0,1,0,1,4,10
22,2.408,J EXP PSYCHOL LEARN,15,0,0,0,0,1,1,0,1,0,0,12
23,2.474,J MEM LANG,15,0,0,0,1,0,1,0,0,0,0,13
