Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,4035,52,119,246,215,257,240,239,236,169,177,2085
2, ,ALL OTHERS (607),607,3,24,36,27,39,26,26,21,21,22,362
3,2.408,J EXP PSYCHOL LEARN,233,0,8,19,11,24,20,11,20,12,15,93
4,2.580,J EXP PSYCHOL HUMAN,186,0,3,9,7,11,2,6,12,15,20,101
5,7.803,PSYCHOL REV,165,0,0,4,5,2,5,5,5,1,6,132
6,1.604,MEM COGNITION,156,0,3,14,12,13,13,17,10,5,7,62
7,2.449,Q J EXP PSYCHOL-A,127,0,2,7,8,13,8,7,3,3,8,68
8,5.594,J EXP PSYCHOL GEN,111,0,3,5,8,6,4,14,3,5,2,61
9,1.371,PERCEPT PSYCHOPHYS,102,0,1,0,5,3,4,5,7,7,1,69
10,1.935,PSYCHON B REV,87,1,3,8,5,8,6,13,10,10,4,19
11,2.474,J MEM LANG,83,0,5,4,12,9,10,5,4,3,5,26
12,1.104,Q J EXP PSYCHOL,83,45,12,1,1,0,0,0,0,0,0,24
13,4.667,Q J EXP PSYCHOL-B,78,0,0,4,12,9,16,5,4,0,4,24
14,2.075,J EXP PSYCHOL ANIM B,68,0,0,9,2,2,8,3,3,5,4,32
15,4.251,PSYCHOL SCI,67,0,2,0,5,6,9,12,9,9,5,10
16,10.905,PSYCHOL BULL,60,0,0,4,0,0,1,4,1,2,4,44
17,4.026,COGNITIVE PSYCHOL,53,0,0,2,1,4,0,1,2,0,3,40
18,3.831,COGNITION,52,1,0,4,2,8,3,6,5,2,2,19
19,1.778,LEARN MOTIV,52,0,0,1,1,5,4,1,2,0,1,37
20, ,J EXP PSYCHOL,40,0,0,0,0,0,0,0,0,0,0,40
21,1.783,ACTA PSYCHOL,38,1,2,4,6,2,3,4,2,2,0,12
22,2.714,PSYCHOL LEARN MOTIV,38,0,0,0,5,3,0,1,0,0,0,29
23,9.389,TRENDS COGN SCI,36,0,0,2,2,8,3,6,9,3,1,2
24, ,ANIM LEARN BEHAV,33,0,0,0,0,0,5,1,2,2,2,21
25,1.727,VIS COGN,33,0,9,3,2,5,5,2,0,0,3,4
26,1.384,EUR J COGN PSYCHOL,32,0,1,4,4,1,2,2,3,3,3,9
27,1.847,PSYCHOL RES-PSYCH FO,28,0,3,3,4,1,2,1,1,3,1,9
28, ,VISION RES,28,0,0,2,0,2,0,3,9,1,1,10
29, ,J VERB LEARN VERB BE,27,0,0,0,0,0,0,0,0,0,0,27
30,1.538,BRIT J PSYCHOL,26,0,0,0,3,0,1,0,1,2,1,18
31, ,NATURE,26,0,0,0,0,0,1,1,1,0,3,20
32,1.563,J EXP CHILD PSYCHOL,25,0,0,1,2,1,3,4,3,1,0,10
33,1.925,COGN NEUROPSYCHOL,24,0,2,2,0,1,0,0,0,3,1,15
34, ,ATTENTION PERFORM,23,0,0,0,0,0,0,0,3,2,0,18
35, ,EXP BRAIN RES,23,0,1,2,3,2,2,1,4,1,1,6
36,0.939,AM J PSYCHOL,21,0,0,0,0,0,0,1,3,0,0,17
37, ,CORTEX,20,0,7,0,0,0,1,2,0,2,0,8
38,4.997,J COGNITIVE NEUROSCI,20,0,0,5,1,1,2,3,1,1,1,5
39,3.630,NEUROPSYCHOLOGIA,20,0,1,2,1,1,2,0,0,1,0,12
40,1.617,PERCEPTION,20,0,0,1,0,3,2,1,0,2,0,11
41,17.462,BEHAV BRAIN SCI,19,0,0,0,0,1,0,6,1,4,0,7
42, ,SCIENCE,19,0,0,0,1,0,0,1,2,1,0,14
43,1.267,LEARN BEHAV,18,0,0,13,3,2,0,0,0,0,0,0
44,0.963,BEHAV RES METHODS,16,0,2,0,1,1,1,2,0,1,2,6
45,1.318,J MOTOR BEHAV,16,0,0,1,0,0,1,0,1,0,2,11
46,1.403,MEMORY,16,0,0,3,0,2,2,3,0,2,0,4
47,4.505,J PERS SOC PSYCHOL,15,0,0,0,1,0,0,1,0,0,0,13
48, ,NEUROIMAGE,14,0,0,4,1,1,4,2,2,0,0,0
49, ,BRAIN,13,0,0,0,0,0,0,1,0,1,0,11
50,2.518,PSYCHOL AGING,13,0,0,1,1,3,2,0,0,0,1,5
51, ,CAN J PSYCHOL,12,0,0,0,0,0,0,0,0,0,0,12
52, ,CLASSICAL CONDITION,12,0,0,0,0,0,0,0,0,0,0,12
53,1.511,COGNITION EMOTION,12,0,2,0,1,0,1,0,3,0,0,5
54,2.353,J EDUC PSYCHOL,12,0,0,0,0,0,0,1,0,0,0,11
55,1.282,J MATH PSYCHOL,12,0,0,1,1,3,0,2,1,0,0,4
56,1.257,APPL COGNITIVE PSYCH,11,0,1,1,2,1,0,1,2,0,0,3
57, ,BEHAV BRAIN RES,11,0,0,1,0,2,3,1,1,1,0,2
58, ,BEHAV NEUROSCI,11,0,0,2,2,1,0,1,0,0,0,5
59,0.891,CAN J EXP PSYCHOL,11,0,1,3,0,1,1,1,2,0,0,2
60,2.179,COGNITIVE SCI,11,0,0,6,1,2,0,0,0,0,0,2
61,3.038,DEV PSYCHOL,11,0,0,0,0,0,0,0,1,3,0,7
62,3.382,CHILD DEV,10,0,0,0,0,1,0,0,0,0,0,9
63, ,COGNITIVE BRAIN RES,10,0,0,2,2,2,0,1,2,0,0,1
64, ,NAT NEUROSCI,10,0,0,1,0,2,4,3,0,0,0,0
65, ,B PSYCHONOMIC SOC,9,0,0,0,0,0,0,0,0,0,0,9
66,3.600,BEHAV RES THER,9,0,1,2,0,0,1,0,0,1,0,4
67,2.641,BRAIN LANG,9,0,0,1,1,0,0,0,2,0,0,5
68, ,J NEUROSCI,9,0,1,2,0,0,0,0,3,0,1,2
