Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,Rest
1, ,ALL Journals,5087,1,69,197,271,299,283,284,261,294,248,2880
2, ,ALL OTHERS (1192),1192,0,18,39,47,55,63,51,62,60,51,746
3,3.414,COGNITION,221,0,4,4,10,14,13,18,13,28,7,110
4,2.917,COGNITIVE SCI,177,1,7,12,16,18,9,12,3,8,6,85
5,7.638,PSYCHOL REV,164,0,0,1,3,6,6,4,6,4,18,116
6,3.065,J MEM LANG,160,0,1,6,13,3,2,1,7,20,10,97
7,2.667,J EXP PSYCHOL LEARN,113,0,2,3,1,2,5,7,5,7,1,80
8,3.719,COGNITIVE PSYCHOL,110,0,1,4,3,6,1,6,9,0,1,79
9,5.667,PSYCHOL SCI,106,0,3,7,5,1,5,11,10,6,10,48
10, ,SCIENCE,82,0,0,0,2,11,7,1,2,8,2,49
11,2.921,PSYCHON B REV,80,0,1,4,5,5,6,2,4,7,8,38
12,2.253,MEM COGNITION,78,0,1,2,3,5,2,4,2,3,1,55
13,4.420,J EXP PSYCHOL GEN,75,0,4,5,5,1,5,3,2,1,4,45
14,15.402,TRENDS COGN SCI,68,0,0,0,3,3,1,9,3,4,1,44
15,4.195,CHILD DEV,66,0,0,3,3,5,2,7,0,1,4,41
16,3.228,DEV PSYCHOL,53,0,0,4,4,5,0,5,1,2,4,28
17,2.439,BRAIN LANG,50,0,1,0,3,2,4,1,0,1,2,36
18, ,P NATL ACAD SCI USA,45,0,0,1,3,3,4,5,6,6,5,12
19,2.287,J EXP PSYCHOL HUMAN,41,0,0,1,0,1,3,2,0,1,7,26
20,3.108,J COGNITIVE NEUROSCI,39,0,0,0,3,1,2,1,1,5,2,24
21,4.604,DEVELOPMENTAL SCI,36,0,1,1,1,2,6,3,5,2,5,10
22,2.321,FRONT PSYCHOL,36,0,1,8,13,6,6,2,0,0,0,0
23,14.200,BEHAV BRAIN SCI,35,0,0,0,3,1,4,2,2,0,0,23
24,3.623,BEHAV RES METHODS,35,0,0,0,2,3,0,3,4,4,3,16
25, ,LANG COGNITIVE PROC,34,0,0,0,7,0,7,2,1,1,1,15
26,16.793,PSYCHOL BULL,34,0,0,1,6,2,0,0,0,2,2,21
27,1.642,J CHILD LANG,29,0,1,1,1,1,2,1,1,1,1,19
28,5.017,J PERS SOC PSYCHOL,29,0,0,1,0,0,1,3,2,0,0,22
29, ,PLOS ONE,29,0,1,3,11,6,3,3,1,1,0,0
30,2.602,J EXP CHILD PSYCHOL,25,0,0,1,2,3,3,2,1,1,0,12
31, ,NATURE,25,0,0,0,0,0,0,0,3,4,0,18
32, ,THESIS,24,0,1,1,2,1,2,0,0,1,0,16
33, ,VISION RES,24,0,0,0,1,0,1,0,2,1,2,17
34,2.000,TOP COGN SCI,23,0,0,4,2,5,6,2,4,0,0,0
35, ,ADV NEURAL INFORM PR,22,0,0,1,0,1,1,0,2,4,3,10
36,2.074,DISCOURSE PROCESS,21,0,0,0,1,0,4,1,0,2,1,12
37,0.660,J PSYCHOLINGUIST RES,21,0,2,0,0,1,0,0,1,0,0,17
38,2.031,ACTA PSYCHOL,20,0,1,1,0,1,4,4,0,3,1,5
39, ,J ACOUST SOC AM,20,0,0,0,1,1,0,0,0,4,1,13
40,2.129,Q J EXP PSYCHOL,20,0,1,3,4,0,0,3,1,1,3,4
41, ,Q J EXP PSYCHOL-A,18,0,0,0,0,0,0,0,0,0,0,18
42,1.444,COGNITIVE DEV,17,0,0,0,0,0,0,0,0,2,3,12
43,5.255,CURR DIR PSYCHOL SCI,17,0,0,0,2,3,1,1,1,0,2,7
44,2.821,PSYCHOL LEARN MOTIV,17,0,0,1,1,0,0,6,2,1,0,6
45,1.146,COGN NEUROPSYCHOL,16,0,0,0,0,0,0,0,1,4,0,11
46, ,NEUROIMAGE,16,0,0,2,0,1,0,1,1,1,0,10
47,1.771,J SPEECH LANG HEAR R,15,0,1,2,0,0,0,0,5,1,1,5
48,1.714,LANGUAGE,15,0,0,0,0,0,0,1,0,1,0,13
49, ,PERCEPT PSYCHOPHYS,15,0,0,0,0,0,0,0,0,0,1,14
50, ,PHILOS T R SOC B,15,0,0,1,0,2,4,0,1,2,2,3
51,2.783,THINK REASONING,15,0,0,0,1,6,2,0,1,2,1,2
52,19.950,ANNU REV PSYCHOL,14,0,0,0,1,0,3,0,2,1,0,7
53, ,ARTIF INTELL,14,0,0,0,0,0,0,0,0,1,0,13
54, ,BRAIN RES,14,0,0,0,0,1,0,1,2,1,8,1
55,1.738,J BEHAV DECIS MAKING,14,0,1,2,1,1,1,1,0,2,0,5
56, ,J COGNITION CULTURE,14,0,0,0,0,1,0,3,1,0,0,9
57, ,J VERB LEARN VERB BE,14,0,0,0,0,0,0,0,0,0,0,14
58,1.471,LANG SPEECH,14,0,1,1,1,0,1,1,0,0,0,9
59, ,NAT NEUROSCI,14,0,0,0,0,1,0,0,1,0,0,12
60,3.197,NEUROPSYCHOLOGIA,14,0,0,0,0,1,1,2,1,1,1,7
61,1.297,VIS COGN,14,0,0,5,1,3,0,0,1,1,0,3
62,3.010,BILING-LANG COGN,13,0,0,3,0,3,0,2,0,0,0,5
63, ,J NEUROSCI,13,0,0,0,0,2,1,2,1,1,1,5
64, ,J VISION,13,0,0,0,2,1,0,1,3,3,2,1
65, ,P 33 ANN C COGN SCI,13,0,0,0,0,0,13,0,0,0,0,0
66, ,CEREB CORTEX,12,0,1,0,1,0,0,3,1,2,1,3
67,2.528,COMPUT LINGUIST,12,0,0,0,2,0,0,1,0,0,0,9
68,2.144,CONSCIOUS COGN,12,0,0,5,1,2,0,0,0,1,0,3
69, ,FRONT HUM NEUROSCI,12,0,1,2,3,5,1,0,0,0,0,0
70,2.393,INFANCY,12,0,0,0,0,1,0,2,1,2,1,5
71, ,P 35 ANN C COGN SCI,12,0,0,0,12,0,0,0,0,0,0,0
72,0.921,PHILOS SCI,12,0,0,1,1,1,0,2,0,0,1,6
73,1.621,J COGN DEV,11,0,1,2,0,1,2,1,0,0,1,3
74, ,J EXP PSYCHOL,11,0,0,0,0,0,0,0,0,0,0,11
75,1.377,J MATH PSYCHOL,11,0,0,0,0,0,1,0,0,1,1,8
76,1.061,J SEMANT,11,0,1,0,1,0,0,1,0,0,1,7
77,0.942,MUSIC PERCEPT,11,0,0,0,1,0,0,1,2,0,1,6
78, ,R LANG ENV STAT COMP,11,0,1,2,1,3,0,2,1,1,0,0
79,3.459,J EDUC PSYCHOL,10,0,0,0,0,0,1,0,2,0,1,6
80,0.918,J PRAGMATICS,10,0,0,1,0,1,0,1,0,0,0,7
81,2.668,PSYCHOPHYSIOLOGY,10,0,0,0,0,0,0,0,1,0,4,5
82,6.681,AM PSYCHOL,9,0,0,1,0,0,1,0,1,0,0,6
83,2.432,BRAIN COGNITION,9,0,0,0,0,3,0,0,1,0,0,5
84,1.403,J NEUROLINGUIST,9,0,0,1,1,1,1,1,2,1,1,0
85,1.352,J PHONETICS,9,0,0,1,1,3,0,0,1,0,0,3
86, ,NAT REV NEUROSCI,9,0,0,0,0,0,0,1,1,1,0,6
87,1.087,PERCEPTION,9,0,0,0,1,0,0,1,0,1,0,6
88,3.119,PSYCHOL RES-PSYCH FO,9,0,1,0,0,1,0,0,1,0,0,6
89,0.629,AM J PSYCHOL,8,0,0,0,0,0,0,0,0,0,0,8
90, ,APHASIOLOGY,8,0,0,0,1,0,2,3,0,0,0,2
91,1.712,BRIT J DEV PSYCHOL,8,0,0,0,0,2,1,0,1,0,1,3
92,2.135,COGN LINGUIST,8,0,0,0,1,4,0,0,0,0,0,3
93,2.156,J EXP PSYCHOL-APPL,8,0,1,1,0,0,0,0,0,1,0,5
94,2.079,LANG LEARN,8,0,0,1,0,1,0,2,1,0,0,3
95, ,NEURAL COMPUT,8,0,0,0,0,0,0,0,1,1,0,6
96, ,P 31 ANN C COGN SCI,8,0,0,0,0,0,0,1,7,0,0,0
97, ,P 34 ANN C COGN SCI,8,0,0,0,0,8,0,0,0,0,0,0
98,7.359,PERSPECT PSYCHOL SCI,8,0,0,1,2,2,0,2,0,1,0,0
99,1.813,SOC COGNITION,8,0,0,0,0,0,0,0,2,5,0,1
100,0.855,SYNTHESE,8,0,0,0,1,3,0,0,2,1,0,1
101,2.218,WIRES COGN SCI,8,0,0,0,1,1,3,3,0,0,0,0
102,3.139,BRIT J PSYCHOL,7,0,0,0,1,0,2,0,0,0,0,4
103,1.055,CAN J EXP PSYCHOL,7,0,0,0,0,0,1,0,1,0,0,5
104, ,CORTEX,7,0,0,0,0,2,0,0,1,0,0,4
105,0.655,HUMOR,7,0,0,0,0,0,0,0,0,0,0,7
106,1.616,INFANT BEHAV DEV,7,0,0,0,0,0,0,0,1,0,0,6
107,2.159,J EXP SOC PSYCHOL,7,0,0,0,0,1,0,1,1,1,0,3
108, ,LANGUAGE LEARN DE,7,0,0,1,0,0,0,2,1,0,1,2
109,0.903,METAPHOR SYMBOL,7,0,0,2,0,1,0,1,0,0,1,2
110, ,P 36 ANN C COGN SCI,7,0,0,7,0,0,0,0,0,0,0,0
111, ,PHYS REV E,7,0,0,0,0,0,2,0,0,0,1,4
112, ,ANN NY ACAD SCI,6,0,0,1,0,0,0,1,1,0,0,3
113, ,ATTENTION PERFORM,6,0,0,0,0,0,1,0,0,0,0,5
114, ,B PSYCHONOMIC SOC,6,0,0,0,0,0,0,0,0,0,0,6
115,2.385,BEHAV GENET,6,0,0,0,1,1,0,1,0,1,0,2
116,0.974,COGN PROCESS,6,0,2,0,2,1,0,0,0,0,0,1
117,1.182,COGN SYST RES,6,0,0,2,0,0,1,0,0,1,0,2
118, ,COGNITIVE BRAIN RES,6,0,0,0,0,0,0,0,0,0,0,6
119, ,CONNECT SCI,6,0,0,0,0,0,1,0,0,0,0,5
120,0.733,GESTURE,6,0,0,1,1,0,1,1,2,0,0,0
121,1.303,LANG ACQUIS,6,0,0,0,0,0,0,0,0,0,1,5
122,0.962,MIND LANG,6,0,0,0,0,0,0,2,0,0,0,4
123,2.454,ORGAN BEHAV HUM DEC,6,0,0,0,0,0,1,0,1,0,0,4
124, ,P 32 ANN C COGN SCI,6,0,0,0,0,0,0,6,0,0,0,0
