Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,1801,6,37,76,88,88,105,101,92,94,91,1023
2, ,ALL OTHERS (541),541,3,10,19,18,20,30,27,21,25,22,346
3,1.400,PERS INDIV DIFFER,61,0,3,4,9,6,2,1,2,4,1,29
4,4.505,J PERS SOC PSYCHOL,52,0,1,0,1,3,2,1,1,3,1,39
5,1.538,BRIT J PSYCHOL,42,0,2,2,1,5,5,1,2,0,2,22
6,2.408,J EXP PSYCHOL LEARN,42,0,0,1,1,1,3,2,3,2,2,27
7,1.604,MEM COGNITION,35,0,0,2,2,1,1,3,2,1,4,19
8,10.905,PSYCHOL BULL,35,0,0,1,2,1,1,1,1,0,1,27
9,2.449,Q J EXP PSYCHOL-A,30,0,1,5,1,1,1,3,1,2,3,12
10,5.594,J EXP PSYCHOL GEN,27,0,0,0,1,1,1,3,1,2,0,18
11,3.831,COGNITION,23,0,0,1,0,1,0,1,0,4,1,15
12,2.580,PERS SOC PSYCHOL B,20,0,0,1,2,2,3,1,0,2,1,8
13,2.474,J MEM LANG,18,0,0,1,1,0,1,2,4,0,0,9
14,1.719,J SPORT EXERCISE PSY,16,1,0,4,1,2,3,0,0,0,0,5
15,2.580,J EXP PSYCHOL HUMAN,15,0,0,1,0,0,0,0,1,2,0,11
16,1.205,BRIT J DEV PSYCHOL,14,0,2,2,2,0,1,1,1,0,0,5
17,3.038,DEV PSYCHOL,14,0,0,1,1,0,0,1,1,2,0,8
18,7.803,PSYCHOL REV,14,0,0,3,0,0,0,0,0,0,0,11
19,3.382,CHILD DEV,13,0,0,0,0,1,0,1,2,1,0,8
20,4.026,COGNITIVE PSYCHOL,13,0,0,0,0,0,0,1,3,0,0,9
21,2.353,J EDUC PSYCHOL,13,0,0,0,0,0,1,1,0,0,0,11
22, ,J EXP PSYCHOL,13,0,0,0,0,0,0,0,1,0,0,12
23,2.269,INT J EAT DISORDER,12,0,0,0,0,0,1,0,0,2,1,8
24, ,J SPORT SCI,12,0,1,0,0,0,1,3,3,2,0,2
25, ,NATURE,12,0,0,0,0,0,1,1,0,0,3,7
26,1.935,PSYCHON B REV,12,0,0,4,0,0,1,0,0,1,3,3
27, ,SCIENCE,12,0,0,0,0,0,0,0,1,1,0,10
28,0.657,J APPL SOC PSYCHOL,11,0,0,0,0,2,0,1,2,1,2,3
29,1.563,J EXP CHILD PSYCHOL,11,0,0,1,0,1,0,0,0,1,1,7
30,1.617,PERCEPTION,11,0,0,0,0,0,0,2,1,0,1,7
31,9.389,TRENDS COGN SCI,11,0,0,0,3,0,0,2,3,2,1,0
32,13.400,ANNU REV PSYCHOL,10,0,2,0,0,1,1,1,2,0,0,3
33,17.462,BEHAV BRAIN SCI,10,0,0,1,0,1,0,2,1,1,1,3
34,2.179,COGNITIVE SCI,10,0,0,0,1,0,2,0,0,1,0,6
35, ,ETHOL SOCIOBIOL,10,0,0,0,0,0,0,0,0,0,0,10
36,1.384,EUR J COGN PSYCHOL,10,0,0,0,4,1,2,0,1,0,0,2
37,1.500,HUM NATURE-INT BIOS,10,0,0,0,0,1,1,0,0,1,0,7
38, ,J VERB LEARN VERB BE,10,0,0,0,0,0,0,0,0,0,0,10
39, ,INTEREST LEARN P,9,0,0,0,0,0,0,0,0,0,9,0
40,4.432,J CHILD PSYCHOL PSYC,9,0,0,1,1,0,0,3,0,0,0,4
41,1.371,PERCEPT PSYCHOPHYS,9,0,0,0,1,0,0,0,0,2,0,6
42,1.952,EUR J PERSONALITY,8,0,0,0,1,3,0,1,0,0,1,2
43,1.403,MEMORY,8,0,1,0,3,0,2,0,0,0,1,1
44,1.847,ORGAN BEHAV HUM DEC,8,0,0,0,0,0,1,1,0,0,1,5
45,4.251,PSYCHOL SCI,8,0,0,0,1,0,0,1,0,1,1,4
46,5.446,BRIT J PSYCHIAT,7,0,0,0,0,1,0,0,0,0,0,6
47,1.987,BRIT J SOC PSYCHOL,7,1,0,1,0,1,1,1,0,0,0,2
48,2.966,HEALTH PSYCHOL,7,0,1,1,0,1,1,0,0,1,0,2
49,0.387,PERCEPT MOTOR SKILL,7,0,0,0,0,0,1,1,0,0,0,5
50,1.104,Q J EXP PSYCHOL,7,0,0,0,0,0,0,0,0,0,0,7
51,1.078,TRANSPORT RES F-TRAF,7,0,0,0,1,1,0,1,3,0,1,0
52,1.511,COGNITION EMOTION,6,0,0,0,1,0,0,0,0,0,1,4
53,3.047,J APPL PSYCHOL,6,0,0,0,0,2,1,0,1,0,0,2
54,2.058,J EXP SOC PSYCHOL,6,0,0,0,0,1,0,2,0,0,0,3
55,1.390,J SOC ISSUES,6,0,0,3,0,0,0,0,0,0,0,3
