Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,5116,13,93,313,370,419,351,321,295,284,254,2403
2, ,ALL OTHERS (1044),1044,0,25,44,48,52,60,44,42,47,50,632
3,3.831,COGNITION,348,7,11,21,20,30,34,29,25,19,18,134
4,2.474,J MEM LANG,149,0,2,4,8,20,12,8,12,11,12,60
5,7.803,PSYCHOL REV,130,0,2,9,8,0,1,6,4,3,6,91
6,4.026,COGNITIVE PSYCHOL,128,0,2,10,6,6,3,15,4,4,3,75
7,4.251,PSYCHOL SCI,117,1,2,15,13,18,21,11,8,4,8,16
8,2.580,J EXP PSYCHOL HUMAN,104,0,1,4,5,4,7,8,6,7,8,54
9,3.382,CHILD DEV,93,0,0,2,4,9,4,8,5,2,3,56
10,2.408,J EXP PSYCHOL LEARN,91,0,1,5,7,10,6,5,9,5,5,38
11, ,SCIENCE,83,0,1,6,10,3,9,2,1,10,1,40
12,9.389,TRENDS COGN SCI,79,0,2,11,13,19,6,2,7,15,3,1
13,5.594,J EXP PSYCHOL GEN,66,0,1,3,8,5,3,4,4,2,8,28
14,3.038,DEV PSYCHOL,59,0,0,2,3,2,6,4,2,3,6,31
15,4.997,J COGNITIVE NEUROSCI,59,0,1,6,15,3,4,6,4,2,3,15
16,1.604,MEM COGNITION,59,0,0,2,8,3,7,4,6,1,2,26
17, ,NATURE,58,0,0,2,6,1,4,5,1,4,4,31
18,1.371,PERCEPT PSYCHOPHYS,57,0,0,2,1,6,6,1,3,0,5,33
19,1.563,J EXP CHILD PSYCHOL,52,0,1,4,6,2,10,2,4,4,3,16
20,1.935,PSYCHON B REV,52,0,1,4,5,3,14,2,4,3,9,7
21,3.630,NEUROPSYCHOLOGIA,50,0,2,4,2,12,4,4,4,1,2,15
22,0.880,J CHILD LANG,49,0,0,1,0,5,4,2,3,2,3,29
23,2.179,COGNITIVE SCI,48,0,2,3,7,10,4,1,1,1,1,18
24,1.383,LANG COGNITIVE PROC,48,0,1,3,9,4,2,5,4,2,1,17
25,17.462,BEHAV BRAIN SCI,47,0,0,1,4,1,3,3,2,15,3,15
26,1.617,PERCEPTION,42,0,0,0,4,4,3,0,2,4,1,24
27,2.449,Q J EXP PSYCHOL-A,42,0,0,5,1,4,2,4,2,3,2,19
28,1.925,COGN NEUROPSYCHOL,40,0,1,5,1,7,2,1,6,1,0,16
29,1.197,COGNITIVE DEV,39,0,1,1,1,0,5,5,3,2,3,18
30,3.198,DEVELOPMENTAL SCI,38,0,1,5,7,12,1,2,1,4,5,0
31,2.641,BRAIN LANG,34,0,0,2,8,2,4,1,1,3,2,11
32,10.905,PSYCHOL BULL,31,0,0,5,1,0,2,2,1,0,4,16
33, ,NAT NEUROSCI,29,0,1,3,5,6,3,2,5,2,2,0
34,1.976,LANGUAGE,28,0,1,1,1,3,1,0,2,0,1,18
35, ,P NATL ACAD SCI USA,28,0,0,3,3,3,7,1,0,2,2,7
36, ,J ACOUST SOC AM,27,0,0,0,0,1,1,2,2,0,0,21
37, ,BRAIN,24,0,0,2,0,2,2,3,0,1,1,13
38,0.970,INFANT BEHAV DEV,23,0,0,0,1,1,2,0,2,3,4,10
39, ,COGNITIVE BRAIN RES,22,0,0,6,5,4,1,1,1,0,0,4
40,0.963,BEHAV RES METHODS,21,0,0,0,3,5,1,1,0,1,0,10
41,1.439,J PHONETICS,20,0,1,2,0,1,1,0,0,3,0,12
42,1.793,J COMP PSYCHOL,19,0,0,1,4,0,0,3,1,0,1,9
43,0.757,LANG SPEECH,19,0,0,0,0,4,0,1,1,0,2,11
44, ,NEUROIMAGE,19,0,1,2,1,5,3,2,2,0,1,2
45,1.727,VIS COGN,19,0,1,2,0,2,1,1,2,4,1,5
46, ,CEREB CORTEX,18,0,0,5,4,0,0,2,0,3,0,4
47,1.694,INFANCY,18,0,0,3,4,2,2,4,3,0,0,0
48,4.505,J PERS SOC PSYCHOL,18,0,0,0,1,0,0,0,2,2,0,13
49,0.500,J PSYCHOLINGUIST RES,18,0,0,3,0,1,1,1,2,2,1,7
