Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,937,2,37,69,48,46,60,50,58,39,58,470
2, ,ALL OTHERS (390),390,1,16,28,16,19,23,17,18,20,22,210
3,7.803,PSYCHOL REV,45,0,2,3,8,1,1,3,4,0,0,23
4,2.179,COGNITIVE SCI,20,0,0,6,1,1,1,6,0,0,0,5
5,3.831,COGNITION,15,0,0,1,0,0,2,1,0,1,1,9
6,1.111,COGN SYST RES,12,0,0,1,2,4,3,0,2,0,0,0
7,4.026,COGNITIVE PSYCHOL,12,0,0,0,0,0,0,0,1,1,0,10
8, ,SCIENCE,12,0,0,2,0,1,1,0,0,2,1,5
9, ,J NEUROSCI,10,0,0,0,0,1,1,1,0,0,1,6
10,1.604,MEM COGNITION,10,0,0,0,0,2,1,0,2,0,0,5
11, ,P NATL ACAD SCI USA,10,0,0,0,1,1,2,0,0,1,1,4
12, ,ATOM COMPONENTS TH,9,0,0,0,0,0,0,0,0,0,9,0
13,2.408,J EXP PSYCHOL LEARN,9,0,0,0,0,0,1,1,1,0,0,6
14,1.371,PERCEPT PSYCHOPHYS,9,0,0,0,0,0,0,0,1,1,0,7
15,9.389,TRENDS COGN SCI,9,0,0,2,1,1,0,1,0,1,3,0
16, ,ARTIF INTELL,8,0,0,0,0,1,0,0,0,0,0,7
17,17.462,BEHAV BRAIN SCI,8,0,0,0,0,0,1,2,1,1,0,3
18,5.594,J EXP PSYCHOL GEN,8,0,1,0,0,0,0,1,0,0,1,5
19, ,J NEUROPHYSIOL,8,0,0,0,0,0,0,1,0,0,1,6
20, ,NATURE,8,0,0,1,1,0,0,2,0,0,0,4
21,0.571,PHILOS PSYCHOL,8,0,1,3,1,0,1,1,1,0,0,0
22,10.905,PSYCHOL BULL,8,0,0,1,0,0,0,0,0,0,0,7
23, ,BRAIN,7,0,0,0,0,0,0,0,0,0,1,6
24, ,BIOL CYBERN,6,0,0,0,0,0,2,1,0,0,0,3
25,1.197,COGNITIVE DEV,6,0,0,0,0,0,0,0,1,0,0,5
26,1.113,HUM FACTORS,6,0,1,0,0,1,0,0,0,0,0,4
27, ,IEEE T SYST MAN CYB,6,0,0,0,0,0,0,0,0,0,0,6
28,2.580,J EXP PSYCHOL HUMAN,6,0,0,0,0,0,0,1,0,0,0,5
29, ,NEURAL COMPUT,6,0,1,0,1,0,0,0,0,0,0,4
30,4.251,PSYCHOL SCI,6,0,0,0,0,0,1,1,1,0,0,3
31, ,UNIFIED THEORIES COG,6,0,0,0,0,0,0,0,0,0,0,6
32,1.783,ACTA PSYCHOL,5,0,0,0,0,0,0,2,0,1,0,2
33,3.382,CHILD DEV,5,0,0,0,0,2,0,0,1,0,0,2
34, ,IEEE T NEURAL NETWOR,5,0,1,1,1,0,0,0,0,0,1,1
35,4.997,J COGNITIVE NEUROSCI,5,0,0,2,0,0,0,0,2,0,0,1
36,3.630,NEUROPSYCHOLOGIA,5,0,0,1,0,1,0,0,1,0,1,1
37,1.935,PSYCHON B REV,5,0,0,1,0,1,0,0,0,1,0,2
38, ,ATTENTION PERFORM,4,0,0,0,0,0,1,0,1,0,0,2
39,2.308,BRAIN COGNITION,4,0,0,0,1,0,0,0,2,0,1,0
40,1.511,COGNITION EMOTION,4,0,0,0,0,0,0,0,0,0,2,2
41, ,COMPUT EXPLOR,4,0,0,0,0,0,0,0,4,0,0,0
42, ,CONSCIOUSNESS SELF R,4,0,0,0,0,0,0,0,0,0,0,4
43,3.038,DEV PSYCHOL,4,0,0,1,0,0,1,0,0,0,0,2
44, ,J EXP THEOR ARTIF IN,4,0,1,0,0,0,0,1,0,0,0,2
45, ,LECT NOTES COMPUT SC,4,0,0,2,1,0,0,0,0,0,1,0
46, ,MACH LEARN,4,0,0,0,0,0,0,0,0,0,0,4
47, ,MODELS INFORM PROCES,4,0,0,0,0,0,0,0,0,0,0,4
48, ,NEURAL NETWORKS,4,0,0,2,1,0,1,0,0,0,0,0
49,1.617,PERCEPTION,4,0,0,0,1,0,0,0,0,1,0,2
50,1.847,PSYCHOL RES-PSYCH FO,4,0,0,0,0,0,1,0,0,0,0,3
51, ,COMPUT SIMULATION,3,0,0,0,0,0,0,0,0,0,0,3
52, ,EXP BRAIN RES,3,0,0,0,0,0,0,0,0,0,1,2
53, ,HUM BRAIN MAPP,3,0,0,0,1,0,0,1,0,1,0,0
54, ,HUM PROBL SOLVING,3,0,0,0,0,0,0,0,0,0,0,3
55, ,INT J COOP INF SYST,3,0,0,0,0,0,2,0,0,0,0,1
56, ,J EXP PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
57,1.282,J MATH PSYCHOL,3,0,0,0,0,0,0,0,2,0,0,1
58,2.474,J MEM LANG,3,0,1,0,0,0,0,0,0,0,2,0
59, ,J PHILOS,3,0,0,0,0,0,0,0,0,0,0,3
60, ,KNOWL-BASED SYST,3,0,0,1,2,0,0,0,0,0,0,0
61, ,LECT NOTES ARTIF INT,3,0,0,2,0,0,0,0,0,1,0,0
62, ,METACOGNITION COGNIT,3,0,0,0,0,0,0,0,0,0,3,0
63, ,MIND MOTION EXPLORAT,3,0,0,0,0,0,0,0,0,0,0,3
64, ,NEUROIMAGE,3,0,0,0,2,0,1,0,0,0,0,0
65, ,NEURON,3,0,0,0,0,1,1,0,0,0,0,1
66, ,NEUROSCIENCE,3,0,0,0,0,0,0,0,0,2,0,1
67, ,P 28 ANN M COGN SCI,3,0,3,0,0,0,0,0,0,0,0,0
68, ,TRENDS NEUROSCI,3,0,0,1,0,1,0,0,0,1,0,0
69, ,7 INT C COGN MOD TRI,2,0,2,0,0,0,0,0,0,0,0,0
70, ,ADAPTIVE CHARACTER T,2,0,0,0,0,0,0,0,0,0,0,2
71, ,ADV NEURAL INFORM PR,2,0,0,0,0,0,1,0,0,0,0,1
72, ,AI MAG,2,0,1,0,0,0,0,0,0,0,0,1
73,9.127,AM J PSYCHIAT,2,0,0,0,0,0,1,0,0,1,0,0
74, ,AMYGDALA NEUROBIOLOG,2,0,0,0,0,0,0,0,0,0,0,2
75, ,ANNU REV NEUROSCI,2,0,0,0,1,0,0,0,0,0,1,0
76, ,APPL ARTIF INTELL,2,1,0,0,0,0,1,0,0,0,0,0
77, ,BEHAV NEUROSCI,2,0,0,0,0,1,0,0,1,0,0,0
78, ,CAN J PHILOS SP,2,0,0,0,0,0,0,2,0,0,0,0
79, ,CEREB CORTEX,2,0,0,1,0,0,1,0,0,0,0,0
80, ,CLASSICAL CONDITION,2,0,0,0,0,0,0,0,0,0,0,2
81,1.925,COGN NEUROPSYCHOL,2,0,0,0,0,0,0,1,1,0,0,0
82, ,COGNITION MULTIAGENT,2,0,1,1,0,0,0,0,0,0,0,0
83, ,COMPLEX SYST,2,0,0,0,0,0,0,0,0,0,0,2
84, ,CONTROL COGNITIVE PR,2,0,0,0,0,0,0,0,2,0,0,0
85, ,CURR BIOL,2,0,0,0,0,2,0,0,0,0,0,0
86,2.750,CURR DIR PSYCHOL SCI,2,0,0,0,0,0,1,0,0,0,1,0
87, ,CYBERNET SYST,2,0,0,0,0,0,0,2,0,0,0,0
88, ,DES BRAIN,2,0,0,0,0,0,0,0,0,0,0,2
89, ,DUALITY MIND,2,0,0,0,0,0,2,0,0,0,0,0
90,1.484,ERGONOMICS,2,0,0,0,0,0,0,0,0,0,0,2
91, ,EUR J NEUROSCI,2,0,0,0,0,0,0,1,0,0,1,0
92, ,HDB BRAIN THEORY NEU,2,0,0,0,0,2,0,0,0,0,0,0
93, ,IEEE T COMPUT,2,0,0,0,0,0,0,0,0,0,0,2
94, ,IEEE T PATTERN ANAL,2,0,0,0,0,0,0,0,0,0,0,2
95, ,IMAGE VISION COMPUT,2,0,0,0,0,0,0,0,0,0,0,2
96,1.364,INT J HUM-COMPUT ST,2,0,0,0,0,2,0,0,0,0,0,0
97, ,INVESTIGATIONS,2,0,0,0,0,0,0,0,2,0,0,0
98, ,J COGNITIVE SYSTEMS,2,0,0,0,0,0,0,0,2,0,0,0
99, ,J COMP PHYSIOL PSYCH,2,0,0,0,0,0,0,0,0,0,0,2
100, ,J VISION,2,0,0,0,1,0,1,0,0,0,0,0
101, ,MED DECIS MAKING,2,0,0,0,0,0,0,0,0,0,0,2
102, ,MENT CAUSATION,2,0,0,0,0,0,0,0,0,0,0,2
103, ,MIND MACH,2,0,0,1,1,0,0,0,0,0,0,0
104, ,MODELLING HIGH LEVEL,2,0,0,0,0,0,2,0,0,0,0,0
105, ,NAT NEUROSCI,2,0,0,0,0,0,0,0,0,1,1,0
106, ,NEW DIRECTIONS CHILD,2,0,0,0,0,0,0,0,2,0,0,0
107, ,P 12 ANN ACT R WORKS,2,0,0,2,0,0,0,0,0,0,0,0
108, ,P 27 ANN C COGN SCI,2,0,0,2,0,0,0,0,0,0,0,0
109, ,P 28 ANN C COGN SCI,2,0,2,0,0,0,0,0,0,0,0,0
110, ,P 7 INT C COGN MOD,2,0,2,0,0,0,0,0,0,0,0,0
111, ,P IEEE,2,0,0,0,0,0,1,0,0,0,0,1
112, ,P INT C COGN MOD,2,0,1,0,0,0,0,0,1,0,0,0
113, ,P INT C PATT REC CAM,2,0,0,0,2,0,0,0,0,0,0,0
114, ,P ROY SOC B-BIOL SCI,2,0,0,0,0,0,0,0,0,0,0,2
115, ,PARALLEL DISTRIBUTED,2,0,0,0,0,0,0,0,0,0,0,2
116, ,PATTERN CLASSIFICATI,2,0,0,0,0,0,0,0,1,0,0,1
117, ,PATTERN RECOGN,2,0,0,0,1,0,0,0,0,0,0,1
118, ,PHILOS MIND,2,0,0,0,0,0,0,0,0,0,0,2
119, ,PHILOS REV,2,0,0,0,0,0,0,0,0,0,0,2
120, ,PHILOS T R SOC B,2,0,0,0,0,0,0,0,0,0,0,2
121, ,PRINCIPLES PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
122, ,PSYCHOL HUM COMPUT,2,0,0,0,0,0,0,0,0,0,0,2
123, ,RATIONAL MODELS COGN,2,0,0,0,0,0,0,0,0,1,1,0
124, ,SCI AM,2,0,0,0,0,0,0,0,0,0,0,2
125, ,STRUCT SCI,2,0,0,0,0,0,0,0,0,0,0,2
126, ,THESIS CAMBRIDGE U C,2,0,0,0,0,0,0,0,0,0,0,2
127, ,VISUAL INFORM PROCES,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
