Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,3790,14,93,188,253,239,264,219,284,196,227,1813
2, ,ALL OTHERS (1367),1367,5,46,95,104,86,97,75,87,54,64,654
3,0.541,INT J SCI EDUC,297,2,9,16,21,37,18,28,36,25,30,75
4,1.148,J RES SCI TEACH,287,0,3,9,16,17,27,11,17,25,9,153
5,0.936,SCI EDUC,266,1,0,8,21,14,25,19,26,5,10,137
6, ,STUD SCI ED,46,0,0,0,0,0,7,1,0,0,4,34
7, ,J BIOL EDUC,39,0,0,3,2,3,2,2,2,3,0,22
8, ,SCHOOL SCI REV,30,0,0,1,3,2,3,2,2,4,4,9
9,1.029,LEARN INSTR,25,0,0,1,0,1,1,2,2,0,1,17
10, ,ENSENANZA CIENCIAS,23,0,1,0,1,1,1,2,1,5,1,10
11, ,SCHOOL SCI MATH,23,0,0,1,0,0,4,2,2,1,1,12
12, ,AM J PHYS,22,0,0,0,0,0,0,0,1,1,2,18
13, ,EDUC RESEARCHER,22,0,1,0,2,3,0,1,0,0,1,14
14, ,ANN M NAT ASS RES SC,21,1,0,1,1,2,2,1,1,3,2,7
15,0.317,RES SCI EDUC,21,0,0,1,4,1,0,0,2,0,1,12
16, ,CURATOR,19,0,0,3,3,1,3,2,0,0,0,7
17,1.571,J LEARN SCI,19,0,0,3,0,0,0,2,3,1,2,8
18,1.519,COGNITION INSTRUCT,18,0,1,0,1,0,1,1,2,0,1,11
19, ,J ENVIRON EDUC,18,0,0,1,0,0,0,0,1,3,1,12
20, ,INT HANDB SCI ED,17,0,0,0,0,1,0,0,0,0,16,0
21,2.600,REV EDUC RES,17,0,0,0,0,0,0,0,0,2,0,15
22, ,EUR J SCI EDUC,16,0,0,0,0,0,0,0,0,0,0,16
23, ,J CHEM EDUC,16,0,2,1,0,0,2,0,1,3,0,7
24,1.340,PUBLIC UNDERST SCI,16,0,1,3,1,2,1,2,0,1,3,2
25, ,RES SCI TECHNOLOGICA,15,1,1,0,1,0,0,2,1,2,1,6
26, ,NAT SCI ED STAND,14,0,0,0,0,0,0,0,0,0,0,14
27,2.353,J EDUC PSYCHOL,12,0,0,0,0,1,0,1,1,0,0,9
28, ,J SCI TEACHER ED,12,0,1,2,0,0,1,2,2,0,2,2
29, ,AM BIOL TEACH,11,0,0,1,0,1,0,0,1,0,0,8
30, ,ANNU M AM EDUC RES,11,0,1,2,0,0,0,2,1,0,1,4
31,2.179,COGNITIVE SCI,11,0,0,0,2,0,0,0,0,0,0,9
32,0.589,TEACH TEACH EDUC,11,0,0,0,1,2,0,1,0,1,0,6
33, ,HDB RES SCI TEACHING,10,0,0,0,0,0,0,0,0,0,0,10
34, ,BENCHM SCI LIT,9,0,0,0,0,0,0,0,0,0,0,9
35, ,CAMBRIDGE J ED,9,0,0,0,2,0,3,1,0,1,1,1
36,3.382,CHILD DEV,9,0,0,0,0,0,0,1,1,1,0,6
37,1.197,COGNITIVE DEV,9,0,0,0,1,0,0,0,0,0,1,7
38,0.795,INSTR SCI,9,0,0,0,0,1,0,0,0,0,0,8
39, ,J SCI ED TECHNOLOGY,9,0,0,0,0,1,1,0,2,1,1,3
40, ,NAT SCI SCI ED RA,9,0,0,0,0,0,0,0,7,0,2,0
41,7.803,PSYCHOL REV,9,0,0,0,0,0,0,0,0,0,0,9
42, ,SCI TEACH,9,0,0,0,0,1,0,1,2,1,0,4
43,0.782,BRIT EDUC RES J,8,0,0,0,1,0,2,0,0,1,0,4
44, ,CHEM ED RES PRACTICE,8,0,0,1,2,1,0,2,2,0,0,0
45, ,CHILDRENS IDEAS SCI,8,0,0,0,0,0,0,0,0,0,0,8
46,4.026,COGNITIVE PSYCHOL,8,0,0,0,0,1,0,0,0,0,0,7
47, ,RECONSIDERING CONCEP,8,0,0,0,0,0,8,0,0,0,0,0
48, ,SCIENCE,8,0,0,2,0,0,0,1,0,0,2,3
49,1.930,AM EDUC RES J,7,0,0,0,0,0,0,1,1,0,0,5
50,6.967,AM PSYCHOL,7,0,0,0,0,0,0,0,0,0,2,5
51,13.400,ANNU REV PSYCHOL,7,0,2,0,0,2,0,2,0,0,0,1
52, ,ASTER,7,0,0,0,0,1,2,0,0,0,1,3
53, ,EDUC STUD MATH,7,0,0,0,0,0,0,4,2,0,0,1
54, ,HANDB QUAL RES,7,0,0,0,0,0,0,0,1,0,0,6
55,0.361,J CURRICULUM STUD,7,0,0,2,0,1,0,1,0,0,0,3
56,0.548,J EDUC RES,7,0,0,1,0,0,2,0,0,1,0,3
57, ,AFR J RES MATH S,6,0,1,2,2,1,0,0,0,0,0,0
58, ,AUST SCI TEACHERS J,6,0,0,0,0,1,0,0,0,1,2,2
59,1.024,BRIT J EDUC PSYCHOL,6,0,0,0,0,0,0,1,1,0,0,4
60, ,DEV MODELS SCI ED,6,0,0,0,0,0,0,0,6,0,0,0
61, ,ED PSYCHOL COGNITIVE,6,0,0,0,0,0,0,0,0,0,0,6
62, ,INT J SCI MATH ED,6,0,0,1,5,0,0,0,0,0,0,0
63, ,J COLL SCI TEACH,6,0,0,0,0,1,0,0,1,0,1,3
64, ,J WOMEN MINORITIES S,6,0,0,0,0,1,1,0,1,1,1,1
65, ,LEARN CONVERSATIO,6,0,0,0,0,0,6,0,0,0,0,0
66, ,MENT MODELS,6,0,0,0,0,0,0,0,0,0,0,6
67,0.364,PHILOS SCI,6,0,0,0,0,0,0,0,1,0,1,4
68, ,PHILOS SCI COGNITIVE,6,0,0,0,0,0,0,0,0,0,0,6
69, ,SCI ALL AM,6,0,0,0,0,0,0,0,0,0,0,6
70, ,SCI CHILDREN,6,0,0,1,0,0,0,0,0,0,0,5
71,1.711,SCI TECHNOL HUM VAL,6,0,0,1,2,0,0,0,1,1,0,1
