Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,3679,17,132,185,228,231,203,179,205,196,177,1926
2, ,ALL OTHERS (645),645,7,31,29,33,27,28,31,27,26,22,384
3,2.474,J MEM LANG,377,3,22,17,29,56,25,27,18,15,37,128
4,2.408,J EXP PSYCHOL LEARN,210,1,10,11,17,8,11,15,8,17,17,95
5,3.831,COGNITION,180,1,5,18,7,12,14,7,16,14,9,77
6,7.803,PSYCHOL REV,148,0,3,7,5,5,2,6,6,6,5,103
7,1.604,MEM COGNITION,132,1,4,3,13,8,6,7,12,4,7,67
8,1.383,LANG COGNITIVE PROC,94,1,2,4,6,7,6,5,10,3,1,49
9, ,J VERB LEARN VERB BE,89,0,0,0,0,0,0,0,0,0,0,89
10,4.026,COGNITIVE PSYCHOL,83,0,2,3,5,3,6,5,4,3,4,48
11,2.641,BRAIN LANG,81,0,0,5,10,6,12,1,3,9,5,30
12,5.594,J EXP PSYCHOL GEN,79,0,1,2,5,8,3,6,8,5,0,41
13,1.935,PSYCHON B REV,65,0,4,4,4,7,7,10,5,2,4,18
14,2.580,J EXP PSYCHOL HUMAN,61,0,0,1,4,2,3,1,2,4,4,40
15,4.251,PSYCHOL SCI,59,0,3,5,6,3,11,1,10,1,2,17
16,0.500,J PSYCHOLINGUIST RES,56,0,2,1,4,3,2,4,8,8,5,19
17,2.449,Q J EXP PSYCHOL-A,45,0,0,4,1,4,3,1,5,1,0,26
18,2.179,COGNITIVE SCI,43,0,4,8,3,1,3,1,0,4,0,19
19,17.462,BEHAV BRAIN SCI,38,0,0,0,4,2,0,4,3,21,0,4
20,1.371,PERCEPT PSYCHOPHYS,37,0,2,1,1,1,2,0,4,2,1,23
21,10.905,PSYCHOL BULL,35,0,1,3,1,2,1,0,0,2,7,18
22, ,J ACOUST SOC AM,32,0,0,0,2,1,0,3,2,0,0,24
23, ,SCIENCE,31,0,0,1,1,0,1,0,0,0,2,26
24,9.389,TRENDS COGN SCI,28,0,0,3,1,3,7,3,8,2,1,0
25,1.925,COGN NEUROPSYCHOL,27,0,0,2,7,0,1,1,0,4,0,12
26,1.976,LANGUAGE,27,0,1,1,3,1,0,1,2,0,0,18
27,0.880,J CHILD LANG,23,0,0,2,2,1,1,0,1,0,0,16
28, ,J EXP PSYCHOL,22,0,0,0,0,0,0,0,0,0,0,22
29,0.891,CAN J EXP PSYCHOL,20,0,0,0,0,16,0,0,0,1,0,3
30, ,J SPEECH HEAR RES,20,0,0,0,0,0,0,0,0,0,0,20
31,4.997,J COGNITIVE NEUROSCI,19,0,0,1,3,0,1,1,1,2,1,9
