Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,902,7,31,35,43,76,59,57,59,45,57,433
2, ,ALL OTHERS (457),457,4,15,15,14,25,37,31,27,20,23,246
3,1.571,J LEARN SCI,58,0,6,1,8,7,6,4,4,3,6,13
4, ,EDUC RESEARCHER,29,0,2,2,0,9,1,1,2,0,3,9
5,1.519,COGNITION INSTRUCT,23,1,0,2,1,4,1,4,0,0,2,8
6, ,MIND CULT ACTIVIT,17,0,0,6,1,3,3,0,0,0,0,4
7,1.148,J RES SCI TEACH,13,0,0,1,1,1,1,1,1,0,2,5
8,2.179,COGNITIVE SCI,12,0,0,0,1,0,0,1,1,1,1,7
9,2.231,EDUC PSYCHOL-US,11,1,1,0,2,0,0,0,5,0,0,2
10,0.697,J RES MATH EDUC,11,0,0,2,0,1,0,0,2,0,0,6
11,0.936,SCI EDUC,8,0,0,0,0,3,2,1,0,0,0,2
12, ,ANNU M AM EDUC RES,7,0,0,0,1,0,0,0,3,1,0,2
13,0.600,REV RES EDUC,6,0,0,0,0,0,0,1,1,3,0,1
14,1.930,AM EDUC RES J,5,0,0,0,0,1,0,1,0,0,0,3
15,4.026,COGNITIVE PSYCHOL,5,0,0,0,0,1,0,0,0,0,0,4
16,1.602,COMPUT EDUC,5,0,0,0,0,2,0,0,0,3,0,0
17,1.022,DISCOURSE PROCESS,5,0,0,0,0,0,0,2,0,0,0,3
18, ,EDUC STUD MATH,5,0,0,1,0,0,0,0,0,1,0,3
19, ,EDUC TECHNOL,5,0,0,1,0,1,0,0,0,0,0,3
20, ,J EDUC COMPUT RES,5,0,0,0,1,1,0,0,1,0,1,1
21,0.497,TEACH COLL REC,5,0,0,0,0,1,0,1,1,0,2,0
22,0.589,TEACH TEACH EDUC,5,0,0,0,0,1,0,2,0,0,2,0
23, ,ARGUING LEARN CONFRO,4,0,0,0,0,4,0,0,0,0,0,0
24, ,COMMUN ACM,4,0,0,0,0,0,0,0,0,1,0,3
25,0.270,ETR&D-EDUC TECH RES,4,0,0,1,0,1,0,0,1,0,0,1
26,1.077,HUM DEV,4,0,0,0,0,0,0,0,0,0,0,4
27, ,INSTRUCTIONAL DES,4,0,0,0,1,0,0,0,0,3,0,0
28,0.361,J CURRICULUM STUD,4,0,0,0,0,0,0,0,0,0,0,4
29, ,J RUSS E EUROPEAN,4,0,0,0,3,0,0,0,0,0,0,1
30, ,J SCI ED TECHNOLOGY,4,0,0,0,1,0,0,0,0,2,1,0
31,1.029,LEARN INSTR,4,0,0,0,0,2,0,0,0,1,0,1
32, ,NAT SCI ED STAND,4,0,0,0,0,0,0,0,0,0,0,4
33, ,NEW DIRECTIONS ED TE,4,0,0,0,0,0,0,0,0,0,0,4
34, ,SITUATED LEARN LE,4,0,0,0,0,0,0,0,0,0,0,4
35, ,UNDERSTANDING PRACTI,4,0,0,0,0,0,0,0,0,0,0,4
36,6.967,AM PSYCHOL,3,0,0,0,0,0,0,0,0,0,1,2
37, ,CAMBRIDGE HDB LEARNI,3,0,3,0,0,0,0,0,0,0,0,0
38, ,CLASSROOM LESSONS IN,3,0,0,0,0,0,0,0,0,0,0,3
39, ,COMMUNITIES PRACTICE,3,0,0,0,0,0,0,0,0,0,3,0
40,1.344,COMPUT HUM BEHAV,3,0,0,1,0,1,0,1,0,0,0,0
41,0.380,CULT PSYCHOL,3,0,0,0,0,0,0,0,1,0,0,2
42, ,DESIGNING VIRTUAL CO,3,0,0,0,3,0,0,0,0,0,0,0
43, ,DISTRIBUTED COGNITIO,3,0,0,0,0,0,0,0,0,0,0,3
44, ,HDB RES MATH TEACHIN,3,0,0,0,0,0,0,0,0,0,0,3
45,0.795,INSTR SCI,3,0,0,0,0,0,0,2,1,0,0,0
46,0.541,INT J SCI EDUC,3,0,0,0,0,0,0,0,0,0,2,1
47, ,INTERNET ENV SCI ED,3,0,0,0,3,0,0,0,0,0,0,0
48, ,JASP PROJ LESS CURR,3,0,0,0,0,0,0,0,0,0,0,3
49, ,MATH THINKING LEARNI,3,0,0,0,0,0,1,0,1,1,0,0
50, ,PERSONAL EPISTEMOLOG,3,0,0,0,0,0,3,0,0,0,0,0
51, ,PRINC STAND SCH MATH,3,0,0,0,0,0,0,0,3,0,0,0
52,2.600,REV EDUC RES,3,0,0,0,1,0,0,0,1,0,0,1
53, ,SITUATED COGNITION S,3,0,0,0,0,0,0,0,0,0,0,3
54, ,SOCIOCULTURAL STUDIE,3,0,0,0,0,0,0,0,0,0,0,3
55, ,ADV INSTRUCT PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
56, ,ADV MATH THINKING,2,0,0,0,0,0,0,0,0,0,0,2
57,1.094,AM ANTHROPOL,2,0,0,0,0,0,0,0,0,0,0,2
58, ,ART CASE STUDY RES,2,0,0,0,0,0,0,0,0,0,0,2
59, ,COMPUT MEDIATED CO,2,0,0,0,0,0,0,0,0,0,0,2
60, ,COMPUT SUPPORT COL,2,0,0,0,0,0,2,0,0,0,0,0
61, ,COMPUT SUPPORTED C,2,0,1,0,0,0,0,0,1,0,0,0
62,1.487,CONTEMP EDUC PSYCHOL,2,0,0,1,0,0,1,0,0,0,0,0
