Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,4781,78,310,432,396,361,352,283,263,233,215,1858
2, ,ALL OTHERS (992),992,25,74,56,59,43,68,46,40,44,49,488
3,4.505,J PERS SOC PSYCHOL,247,1,11,15,6,25,13,11,20,18,17,110
4,4.251,PSYCHOL SCI,242,19,38,55,38,20,10,9,12,9,7,25
5,7.803,PSYCHOL REV,115,1,3,9,10,2,6,7,3,7,2,65
6,3.831,COGNITION,95,2,7,4,4,8,13,5,5,6,4,37
7,10.905,PSYCHOL BULL,80,1,3,3,6,1,5,2,7,4,2,46
8, ,SCIENCE,80,0,2,14,6,2,8,4,2,5,5,32
9,9.389,TRENDS COGN SCI,78,0,7,15,13,12,8,6,8,7,1,1
10,2.408,J EXP PSYCHOL LEARN,75,0,2,6,6,3,2,3,2,5,3,43
11,5.594,J EXP PSYCHOL GEN,63,0,2,2,7,7,3,7,6,2,1,26
12,3.382,CHILD DEV,60,1,1,3,6,6,5,7,0,1,1,29
13,2.580,J EXP PSYCHOL HUMAN,57,0,3,8,2,5,0,6,3,4,1,25
14,2.580,PERS SOC PSYCHOL B,50,1,6,3,2,7,7,2,6,2,4,10
15, ,VISION RES,50,0,3,4,3,5,6,3,6,4,1,15
16, ,NEUROIMAGE,49,2,1,5,8,10,9,6,5,2,1,0
17,1.935,PSYCHON B REV,48,0,2,10,6,1,8,5,4,1,3,8
18, ,NATURE,47,0,1,4,4,4,1,11,3,1,2,16
19,1.604,MEM COGNITION,43,0,3,4,3,2,3,3,5,2,0,18
20, ,P NATL ACAD SCI USA,42,0,3,4,3,3,6,4,2,1,3,13
21,2.474,J MEM LANG,41,0,3,5,4,7,2,2,2,1,2,13
22,17.462,BEHAV BRAIN SCI,40,0,2,6,4,2,1,6,0,7,1,11
23,4.026,COGNITIVE PSYCHOL,40,0,2,4,5,1,0,1,4,2,1,20
24,2.058,J EXP SOC PSYCHOL,40,3,3,2,4,4,5,1,2,5,0,11
25,4.684,J ABNORM PSYCHOL,36,0,1,1,1,2,4,2,0,0,4,21
26,4.997,J COGNITIVE NEUROSCI,35,0,1,6,7,2,5,1,4,0,1,8
27,3.038,DEV PSYCHOL,34,0,2,1,1,4,1,0,0,4,1,20
28, ,NEURON,32,0,7,5,7,3,5,3,1,0,1,0
29,3.630,NEUROPSYCHOLOGIA,32,0,2,5,2,5,5,2,0,3,0,8
30,6.967,AM PSYCHOL,31,0,1,3,2,1,0,0,4,6,0,14
31,3.349,PSYCHOPHYSIOLOGY,31,0,2,3,3,1,2,2,4,2,2,10
32,1.257,APPL COGNITIVE PSYCH,30,0,1,3,4,3,2,3,1,3,4,6
33, ,J NEUROSCI,29,0,3,4,3,5,2,1,1,1,2,7
34,1.371,PERCEPT PSYCHOPHYS,27,0,1,0,3,2,2,1,2,2,1,13
35, ,EXP BRAIN RES,26,0,3,4,4,1,2,4,0,1,0,7
36,1.511,COGNITION EMOTION,25,0,0,2,5,2,2,3,3,2,3,3
37, ,NAT NEUROSCI,25,0,1,10,4,3,1,2,4,0,0,0
38,1.617,PERCEPTION,25,0,1,1,1,4,3,3,1,5,0,6
39,13.400,ANNU REV PSYCHOL,24,0,2,2,2,5,3,1,0,1,2,6
40,2.750,CURR DIR PSYCHOL SCI,23,0,2,7,0,2,5,1,0,1,1,4
41,3.198,DEVELOPMENTAL SCI,23,1,1,4,7,4,1,3,0,1,1,0
42, ,J EXP PSYCHOL,22,0,0,0,0,0,0,0,0,0,0,22
43,1.197,COGNITIVE DEV,19,0,0,1,0,1,2,0,1,0,0,14
44, ,NAT REV NEUROSCI,19,0,3,5,2,2,4,3,0,0,0,0
45, ,BIOL PSYCHIAT,18,0,3,4,1,5,0,0,2,0,2,1
46,1.847,ORGAN BEHAV HUM DEC,18,0,0,2,1,1,0,0,0,1,1,12
47,2.331,J PERS,17,0,3,1,2,1,0,1,2,0,0,7
48,2.518,PSYCHOL AGING,17,0,3,1,0,1,0,0,2,0,2,8
49, ,CURR BIOL,16,0,2,1,3,2,1,1,3,0,0,3
50,4.214,J CONSULT CLIN PSYCH,16,0,0,2,2,2,1,0,1,0,0,8
51,1.400,PERS INDIV DIFFER,16,1,2,1,2,1,1,4,2,0,0,2
52,2.179,COGNITIVE SCI,15,0,1,2,1,3,1,0,0,0,1,6
53,2.714,PSYCHOL LEARN MOTIV,15,0,0,0,4,2,0,0,0,0,0,9
54,6.667,ADV EXP SOC PSYCHOL,14,1,0,0,1,0,3,2,0,0,1,6
55, ,BRAIN,14,0,2,1,1,0,1,2,1,0,2,4
56,1.551,LAW HUMAN BEHAV,14,0,1,2,0,0,1,2,2,1,1,4
57,1.783,ACTA PSYCHOL,13,0,0,2,1,2,0,2,0,0,0,6
58, ,CEREB CORTEX,13,3,0,3,2,2,0,1,1,0,0,1
59,1.793,J COMP PSYCHOL,13,0,1,1,0,1,1,3,0,1,1,4
60, ,NEUROREPORT,13,0,2,0,1,0,0,0,4,2,1,3
61, ,CURR OPIN NEUROBIOL,12,0,0,4,1,1,2,2,0,1,0,1
62,0.970,INFANT BEHAV DEV,12,0,1,0,1,0,1,0,0,0,3,6
63,4.432,J CHILD PSYCHOL PSYC,12,0,1,0,2,0,1,1,0,1,0,6
64, ,J VERB LEARN VERB BE,12,0,0,0,0,0,0,0,0,0,0,12
65, ,ANNU REV NEUROSCI,11,0,0,0,3,0,1,3,2,0,0,2
66,0.963,BEHAV RES METHODS,11,0,0,1,2,1,1,0,0,1,0,5
67,1.205,BRIT J DEV PSYCHOL,11,0,1,0,0,1,0,1,1,3,0,4
68,1.570,EUR J SOC PSYCHOL,11,0,0,1,0,3,0,2,0,1,0,4
69,1.563,J EXP CHILD PSYCHOL,11,0,1,1,0,0,1,2,0,0,1,5
70,1.390,J SOC ISSUES,11,0,1,0,0,0,0,2,0,2,2,4
71,2.400,PSYCHOL PUBLIC POL L,11,0,1,0,0,0,0,6,1,0,0,3
72,0.942,SPATIAL VISION,11,0,0,0,0,1,0,0,0,1,0,9
73,15.976,ARCH GEN PSYCHIAT,10,0,0,1,2,1,0,0,2,1,0,3
74, ,COGNITIVE BRAIN RES,10,0,0,2,2,0,0,2,2,0,1,1
75, ,J ACOUST SOC AM,10,0,0,0,1,0,0,0,0,1,0,8
76,0.657,J APPL SOC PSYCHOL,10,0,0,0,0,1,0,0,2,1,0,6
77,1.403,MEMORY,10,0,1,2,1,2,1,0,2,0,0,1
78, ,PHILOS T R SOC B,10,0,0,0,0,3,0,4,0,0,1,2
79, ,ANIM BEHAV,9,0,0,2,1,0,2,0,0,2,1,1
80, ,ANIM COGN,9,1,1,1,1,1,0,1,1,0,2,0
81, ,ATTENTION PERFORM,9,0,0,0,0,0,3,0,0,1,0,5
82, ,B PSYCHONOMIC SOC,9,0,0,0,0,0,0,0,0,0,0,9
